date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:19:22	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/css/slick.css	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/css/slick.css	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:22	9844/9844	---M-Z	200	added ('OK')	text/css	etag:%222674-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/css/default.css	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/css/default.css	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:23	9953/9953	---M-Z	200	added ('OK')	text/css	etag:%2226e1-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/css/responsive.css	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/css/responsive.css	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:24	4131/4131	---M--	200	added ('OK')	image/png	etag:%221023-5a9d2e46795db%22	https://www.devsnews.com/template/orgafe/orgafe/img/logo/logo.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/logo/logo.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:24	74197/74197	---M-Z	200	added ('OK')	text/css	etag:%22121d5-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/css/style.css	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/css/style.css	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:26	66112/66112	---M-Z	200	added ('OK')	text/html	etag:%2210240-5a9d2e467e3fc-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/index-2.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/index-2.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:26	56922/56922	---M-Z	200	added ('OK')	text/html	etag:%22de5a-5a9d2e467e3fc-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/index-3.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/index-3.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:26	45750/45750	---M-Z	200	added ('OK')	text/html	etag:%22b2b6-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/about.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/about.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:27	39532/39532	---M-Z	200	added ('OK')	text/html	etag:%229a6c-5a9d2e467f39d-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/services.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/services.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:28	35450/35450	---M-Z	200	added ('OK')	text/html	etag:%228a7a-5a9d2e467f39d-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/shop.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/shop.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:28	34401/34401	---M-Z	200	added ('OK')	text/html	etag:%228661-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/blog.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/blog.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:28	24902/24902	---M-Z	200	added ('OK')	text/html	etag:%226146-5a9d2e4668c35-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/gallery.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/gallery.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:28	24878/24878	---M-Z	200	added ('OK')	text/html	etag:%22612e-5a9d2e4668c35-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/gallery-no-gutter.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/gallery-no-gutter.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:29	24775/24775	---M-Z	200	added ('OK')	text/html	etag:%2260c7-5a9d2e4667c95-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/gallery-2-col-no-gutter.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/gallery-2-col-no-gutter.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:29	24788/24788	---M-Z	200	added ('OK')	text/html	etag:%2260d4-5a9d2e4667c95-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/gallery-2-col.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/gallery-2-col.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:30	27834/27834	---M-Z	200	added ('OK')	text/html	etag:%226cba-5a9d2e4667c95-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/gallery-details.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/gallery-details.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:30	36643/36643	---M-Z	200	added ('OK')	text/html	etag:%228f23-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/faq.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/faq.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:30	30068/30068	---M-Z	200	added ('OK')	text/html	etag:%227574-5a9d2e467f39d-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/team.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/team.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:31	42956/42956	---M-Z	200	added ('OK')	text/html	etag:%22a7cc-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/blog-details.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/blog-details.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:31	26868/26868	---M-Z	200	added ('OK')	text/html	etag:%2268f4-5a9d2e467f39d-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/services-details.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/services-details.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:31	19230/19230	---M-Z	200	added ('OK')	text/html	etag:%224b1e-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/404.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/404.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:32	23164/23164	---M-Z	200	added ('OK')	text/html	etag:%225a7c-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/contact.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/contact.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:32	4168/4168	---M--	200	added ('OK')	image/png	etag:%221048-5a9d2e46795db%22	https://www.devsnews.com/template/orgafe/orgafe/img/logo/logo-white.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/logo/logo-white.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:35	147751/147751	---M--	200	added ('OK')	image/jpeg	etag:%2224127-5a9d2e46766fa%22	https://www.devsnews.com/template/orgafe/orgafe/img/gallery/gallery2.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/gallery/gallery2.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:36	213395/213395	---M--	200	added ('OK')	image/jpeg	etag:%2234193-5a9d2e46766fa%22	https://www.devsnews.com/template/orgafe/orgafe/img/gallery/gallery3.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/gallery/gallery3.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:37	150593/150593	---M--	200	added ('OK')	image/jpeg	etag:%2224c41-5a9d2e46766fa%22	https://www.devsnews.com/template/orgafe/orgafe/img/gallery/gallery4.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/gallery/gallery4.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:37	180956/180956	---M--	200	added ('OK')	image/jpeg	etag:%222c2dc-5a9d2e46766fa%22	https://www.devsnews.com/template/orgafe/orgafe/img/gallery/gallery5.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/gallery/gallery5.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:38	117955/117955	---M--	200	added ('OK')	image/jpeg	etag:%221ccc3-5a9d2e46766fa%22	https://www.devsnews.com/template/orgafe/orgafe/img/gallery/gallery6.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/gallery/gallery6.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:38	33682/33682	---M-Z	200	added ('OK')	text/html	etag:%228392-5a9d2e467e3fc-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/product-details.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/product-details.html	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:38	473857/473857	---M--	200	added ('OK')	image/jpeg	etag:%2273b01-5a9d2e467c4bc%22	https://www.devsnews.com/template/orgafe/orgafe/img/slider/slider1.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/slider/slider1.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:38	30646/30646	---M--	200	added ('OK')	image/png	etag:%2277b6-5a9d2e467b51b%22	https://www.devsnews.com/template/orgafe/orgafe/img/shape/shape3.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/shape/shape3.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:38	172723/172723	---M--	200	added ('OK')	image/jpeg	etag:%222a2b3-5a9d2e4668c35%22	https://www.devsnews.com/template/orgafe/orgafe/img/about/about.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/about/about.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:39	4901/4901	---M--	200	added ('OK')	image/png	etag:%221325-5a9d2e467863a%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/icon1.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/icon1.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:39	164403/164403	---M--	200	added ('OK')	image/jpeg	etag:%2228233-5a9d2e4669bd5%22	https://www.devsnews.com/template/orgafe/orgafe/img/bg/bg1.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/bg/bg1.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:39	5318/5318	---M--	200	added ('OK')	image/png	etag:%2214c6-5a9d2e467863a%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/fea1.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/fea1.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:39	1981/1981	---M--	200	added ('OK')	image/png	etag:%227bd-5a9d2e46795db%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/shape1.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/shape1.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:40	5110/5110	---M--	200	added ('OK')	image/png	etag:%2213f6-5a9d2e467863a%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/fea2.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/fea2.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:40	177270/177270	---M--	200	added ('OK')	image/jpeg	etag:%222b476-5a9d2e46766fa%22	https://www.devsnews.com/template/orgafe/orgafe/img/gallery/gallery1.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/gallery/gallery1.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:40	2034/2034	---M--	200	added ('OK')	image/png	etag:%227f2-5a9d2e46795db%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/shape2.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/shape2.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:40	5117/5117	---M--	200	added ('OK')	image/png	etag:%2213fd-5a9d2e467863a%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/fea3.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/fea3.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:41	4349/4349	---M--	200	added ('OK')	image/png	etag:%2210fd-5a9d2e467863a%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/fea4.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/fea4.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:41	5846/5846	---M--	200	added ('OK')	image/png	etag:%2216d6-5a9d2e467b51b%22	https://www.devsnews.com/template/orgafe/orgafe/img/shape/pro1.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/shape/pro1.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:41	6169/6169	---M--	200	added ('OK')	image/png	etag:%221819-5a9d2e467b51b%22	https://www.devsnews.com/template/orgafe/orgafe/img/shape/pro2.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/shape/pro2.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:41	5751/5751	---M--	200	added ('OK')	image/png	etag:%221677-5a9d2e467b51b%22	https://www.devsnews.com/template/orgafe/orgafe/img/shape/pro3.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/shape/pro3.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:42	5661/5661	---M--	200	added ('OK')	image/png	etag:%22161d-5a9d2e467b51b%22	https://www.devsnews.com/template/orgafe/orgafe/img/shape/pro4.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/shape/pro4.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:42	4980/4980	---M--	200	added ('OK')	image/png	etag:%221374-5a9d2e467863a%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/icon2.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/icon2.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:43	66536/66536	---M--	200	added ('OK')	image/png	etag:%22103e8-5a9d2e46795db%22	https://www.devsnews.com/template/orgafe/orgafe/img/product/product1.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/product/product1.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:43	56851/56851	---M--	200	added ('OK')	image/png	etag:%22de13-5a9d2e46795db%22	https://www.devsnews.com/template/orgafe/orgafe/img/product/product2.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/product/product2.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:45	67609/67609	---M--	200	added ('OK')	image/png	etag:%2210819-5a9d2e46795db%22	https://www.devsnews.com/template/orgafe/orgafe/img/product/product3.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/product/product3.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:45	33889/33889	---M--	200	added ('OK')	image/png	etag:%228461-5a9d2e46795db%22	https://www.devsnews.com/template/orgafe/orgafe/img/product/product4.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/product/product4.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:46	5867/5867	---M--	200	added ('OK')	image/png	etag:%2216eb-5a9d2e467863a%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/icon3.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/icon3.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:46	62752/62752	---M--	200	added ('OK')	image/jpeg	etag:%22f520-5a9d2e466f997%22	https://www.devsnews.com/template/orgafe/orgafe/img/bg/bg2.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/bg/bg2.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:47	497405/497405	---M--	200	added ('OK')	image/png	etag:%22796fd-5a9d2e466ab76%22	https://www.devsnews.com/template/orgafe/orgafe/img/bg/bg1.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/bg/bg1.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:48	6990/6990	---M--	200	added ('OK')	image/png	etag:%221b4e-5a9d2e467863a%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/icon5.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/icon5.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:48	121138/121138	---M--	200	added ('OK')	image/png	etag:%221d932-5a9d2e466f997%22	https://www.devsnews.com/template/orgafe/orgafe/img/bg/bg2.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/bg/bg2.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:49	178685/178685	---M--	200	added ('OK')	image/jpeg	etag:%222b9fd-5a9d2e466f997%22	https://www.devsnews.com/template/orgafe/orgafe/img/bg/bg3.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/bg/bg3.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:49	108144/108144	---M--	200	added ('OK')	image/jpeg	etag:%221a670-5a9d2e467d45c%22	https://www.devsnews.com/template/orgafe/orgafe/img/team/team3.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/team/team3.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:49	100570/100570	---M--	200	added ('OK')	image/jpeg	etag:%22188da-5a9d2e467d45c%22	https://www.devsnews.com/template/orgafe/orgafe/img/team/team1.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/team/team1.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:50	99820/99820	---M--	200	added ('OK')	image/jpeg	etag:%22185ec-5a9d2e467d45c%22	https://www.devsnews.com/template/orgafe/orgafe/img/team/team2.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/team/team2.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:50	149945/149945	---M--	200	added ('OK')	image/jpeg	etag:%22249b9-5a9d2e467d45c%22	https://www.devsnews.com/template/orgafe/orgafe/img/team/team4.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/team/team4.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:50	7502/7502	---M--	200	added ('OK')	image/png	etag:%221d4e-5a9d2e467863a%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/c1.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/c1.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:50	10817/10817	---M--	200	added ('OK')	image/png	etag:%222a41-5a9d2e467863a%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/c2.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/c2.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:50	591555/591555	---M--	200	added ('OK')	image/jpeg	etag:%22906c3-5a9d2e4670938%22	https://www.devsnews.com/template/orgafe/orgafe/img/bg/bg4.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/bg/bg4.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:50	14079/14079	---M--	200	added ('OK')	image/png	etag:%2236ff-5a9d2e467863a%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/c3.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/c3.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:51	6278/6278	---M--	200	added ('OK')	image/png	etag:%221886-5a9d2e467863a%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/icon6.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/icon6.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:51	16201/16201	---M--	200	added ('OK')	image/png	etag:%223f49-5a9d2e467e3fc%22	https://www.devsnews.com/template/orgafe/orgafe/img/testimonial/test.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/testimonial/test.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:51	157704/157704	---M--	200	added ('OK')	image/png	etag:%2226808-5a9d2e467b51b%22	https://www.devsnews.com/template/orgafe/orgafe/img/shape/shape1.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/shape/shape1.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:52	3234/3234	---M--	200	added ('OK')	image/png	etag:%22ca2-5a9d2e467863a%22	https://www.devsnews.com/template/orgafe/orgafe/img/icon/icon7.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/icon/icon7.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:52	216736/216736	---M--	200	added ('OK')	image/png	etag:%2234ea0-5a9d2e467b51b%22	https://www.devsnews.com/template/orgafe/orgafe/img/shape/shape2.png	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/shape/shape2.png	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:53	123133/123133	---M--	200	added ('OK')	image/jpeg	etag:%221e0fd-5a9d2e4675759%22	https://www.devsnews.com/template/orgafe/orgafe/img/blog/blog2.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/blog/blog2.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:53	93572/93572	---M--	200	added ('OK')	image/jpeg	etag:%2216d84-5a9d2e4675759%22	https://www.devsnews.com/template/orgafe/orgafe/img/blog/blog3.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/blog/blog3.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:53	128161/128161	---M--	200	added ('OK')	image/jpeg	etag:%221f4a1-5a9d2e4675759%22	https://www.devsnews.com/template/orgafe/orgafe/img/blog/blog1.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/blog/blog1.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:54	13820/13820	---M--	200	added ('OK')	image/jpeg	etag:%2235fc-5a9d2e46795db%22	https://www.devsnews.com/template/orgafe/orgafe/img/instagram/instagram1.jpg	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/instagram/instagram1.jpg	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
